,assembly,dataset,conservation_scores,conservation_score_version,region,window_size,imputed,nan_rate,total_rows,nan_rows_number,nan_rate_without_nan_rows
115,hg38,fantom,phyloP,phyloP20way,enhancers,1024,False,0.0020308210130757683,63285,56,0.0011469500990447421
116,hg38,fantom,phyloP,phyloP30way,enhancers,1024,True,0.0009322904321719207,63285,59,0.0
117,hg38,fantom,phyloP,phyloP30way,enhancers,1024,False,0.001821574153630402,63285,59,0.0008901135658194413
118,hg38,fantom,phyloP,phyloP100way,enhancers,1024,True,0.001627557873113692,63285,103,0.0
119,hg38,fantom,phyloP,phyloP100way,enhancers,1024,False,0.0025777793414711227,63285,103,0.0009517705299768921
120,hg38,fantom,phastCons,phastCons4way,promoters,64,True,0.03158758923118511,99881,3155,0.0
121,hg38,fantom,phastCons,phastCons4way,promoters,64,False,0.04047754327649904,99881,3155,0.009179925769699978
122,hg38,fantom,phastCons,phastCons7way,promoters,64,True,0.0010412390744986534,99881,104,0.0
123,hg38,fantom,phastCons,phastCons7way,promoters,64,False,0.0013803926672740561,99881,104,0.00033950710083486174
124,hg38,fantom,phastCons,phastCons17way,promoters,64,True,0.00031036933951402167,99881,31,0.0
125,hg38,fantom,phastCons,phastCons17way,promoters,64,False,0.0005343859192439003,99881,31,0.0002240861291937907
126,hg38,fantom,phastCons,phastCons20way,promoters,64,True,0.00019022636937956168,99881,19,0.0
127,hg38,fantom,phastCons,phastCons20way,promoters,64,False,0.00025921471551145864,99881,19,6.900147203140334e-05
128,hg38,fantom,phastCons,phastCons30way,promoters,64,True,0.00019022636937956168,99881,19,0.0
129,hg38,fantom,phastCons,phastCons30way,promoters,64,False,0.0003108386479911094,99881,19,0.00012063522661272556
130,hg38,fantom,phastCons,phastCons100way,promoters,64,True,0.00030035742533615,99881,30,0.0
131,hg38,fantom,phastCons,phastCons100way,promoters,64,False,0.000331644657141999,99881,30,3.1296631981652665e-05
132,hg38,fantom,phyloP,phyloP4way,promoters,64,True,0.03158758923118511,99881,3155,0.0
133,hg38,fantom,phyloP,phyloP4way,promoters,64,False,0.04047754327649904,99881,3155,0.009179925769699978
134,hg38,fantom,phyloP,phyloP7way,promoters,64,True,0.0010412390744986534,99881,104,0.0
135,hg38,fantom,phyloP,phyloP7way,promoters,64,False,0.0013803926672740561,99881,104,0.00033950710083486174
136,hg38,fantom,phyloP,phyloP17way,promoters,64,True,0.00031036933951402167,99881,31,0.0
137,hg38,fantom,phyloP,phyloP17way,promoters,64,False,0.0005343859192439003,99881,31,0.0002240861291937907
138,hg38,fantom,phyloP,phyloP20way,promoters,64,True,0.00019022636937956168,99881,19,0.0
139,hg38,fantom,phyloP,phyloP20way,promoters,64,False,0.00025921471551145864,99881,19,6.900147203140334e-05
140,hg38,fantom,phyloP,phyloP30way,promoters,64,True,0.00019022636937956168,99881,19,0.0
141,hg38,fantom,phyloP,phyloP30way,promoters,64,False,0.0003108386479911094,99881,19,0.00012063522661272556
142,hg38,fantom,phyloP,phyloP100way,promoters,64,True,0.00030035742533615,99881,30,0.0
143,hg38,fantom,phyloP,phyloP100way,promoters,64,False,0.000331644657141999,99881,30,3.1296631981652665e-05
144,hg38,fantom,phastCons,phastCons4way,promoters,128,True,0.027823109500305362,99881,2779,0.0
145,hg38,fantom,phastCons,phastCons4way,promoters,128,False,0.041669508590222365,99881,2779,0.01424267458445758
146,hg38,fantom,phastCons,phastCons7way,promoters,128,True,0.0009911795036092951,99881,99,0.0
147,hg38,fantom,phastCons,phastCons7way,promoters,128,False,0.0015058544668155106,99881,99,0.0005151856046180673
148,hg38,fantom,phastCons,phastCons17way,promoters,128,True,0.00024028594026892,99881,24,0.0
149,hg38,fantom,phastCons,phastCons17way,promoters,128,False,0.0005328997757331225,99881,24,0.00029268416335359566
150,hg38,fantom,phastCons,phastCons20way,promoters,128,True,0.00018021445520169,99881,18,0.0
151,hg38,fantom,phastCons,phastCons20way,promoters,128,False,0.0002823672670477869,99881,18,0.00010217122457767141
152,hg38,fantom,phastCons,phastCons30way,promoters,128,True,0.00019022636937956168,99881,19,0.0
153,hg38,fantom,phastCons,phastCons30way,promoters,128,False,0.00036950220762707624,99881,19,0.00017930994772786445
154,hg38,fantom,phastCons,phastCons100way,promoters,128,True,0.00030035742533615,99881,30,0.0
155,hg38,fantom,phastCons,phastCons100way,promoters,128,False,0.00035213779397483003,99881,30,5.179592592963516e-05
156,hg38,fantom,phyloP,phyloP4way,promoters,128,True,0.027823109500305362,99881,2779,0.0
157,hg38,fantom,phyloP,phyloP4way,promoters,128,False,0.041669508590222365,99881,2779,0.01424267458445758
158,hg38,fantom,phyloP,phyloP7way,promoters,128,True,0.0009911795036092951,99881,99,0.0
159,hg38,fantom,phyloP,phyloP7way,promoters,128,False,0.0015058544668155106,99881,99,0.0005151856046180673
160,hg38,fantom,phyloP,phyloP17way,promoters,128,True,0.00024028594026892,99881,24,0.0
161,hg38,fantom,phyloP,phyloP17way,promoters,128,False,0.0005328997757331225,99881,24,0.00029268416335359566
162,hg38,fantom,phyloP,phyloP20way,promoters,128,True,0.00018021445520169,99881,18,0.0
163,hg38,fantom,phyloP,phyloP20way,promoters,128,False,0.0002823672670477869,99881,18,0.00010217122457767141
164,hg38,fantom,phyloP,phyloP30way,promoters,128,True,0.00019022636937956168,99881,19,0.0
165,hg38,fantom,phyloP,phyloP30way,promoters,128,False,0.00036950220762707624,99881,19,0.00017930994772786445
166,hg38,fantom,phyloP,phyloP100way,promoters,128,True,0.00030035742533615,99881,30,0.0
167,hg38,fantom,phyloP,phyloP100way,promoters,128,False,0.00035213779397483003,99881,30,5.179592592963516e-05
168,hg38,fantom,phastCons,phastCons4way,promoters,256,True,0.02209629459056277,99881,2207,0.0
169,hg38,fantom,phastCons,phastCons4way,promoters,256,False,0.0472411779392477,99881,2207,0.025713046396686937
170,hg38,fantom,phastCons,phastCons7way,promoters,256,True,0.0008510127051190918,99881,85,0.0
171,hg38,fantom,phastCons,phastCons7way,promoters,256,False,0.001814815880898269,99881,85,0.0009646240831295844
172,hg38,fantom,phastCons,phastCons17way,promoters,256,True,0.00016019062684594667,99881,16,0.0
173,hg38,fantom,phastCons,phastCons17way,promoters,256,False,0.0006307505932059151,99881,16,0.00047063535773293947
174,hg38,fantom,phastCons,phastCons20way,promoters,256,True,0.00016019062684594667,99881,16,0.0
175,hg38,fantom,phastCons,phastCons20way,promoters,256,False,0.00037603341726654717,99881,16,0.00021587737195213539
176,hg38,fantom,phastCons,phastCons30way,promoters,256,True,0.00014016679849020335,99881,14,0.0
177,hg38,fantom,phastCons,phastCons30way,promoters,256,False,0.00045135742783912854,99881,14,0.00031123425405789703
178,hg38,fantom,phastCons,phastCons100way,promoters,256,True,0.00026030976862466334,99881,26,0.0
179,hg38,fantom,phastCons,phastCons100way,promoters,256,False,0.000393476048998308,99881,26,0.00013320095388313054
180,hg38,fantom,phyloP,phyloP4way,promoters,256,True,0.02209629459056277,99881,2207,0.0
181,hg38,fantom,phyloP,phyloP4way,promoters,256,False,0.0472411779392477,99881,2207,0.025713046396686937
182,hg38,fantom,phyloP,phyloP7way,promoters,256,True,0.0008510127051190918,99881,85,0.0
183,hg38,fantom,phyloP,phyloP7way,promoters,256,False,0.001814815880898269,99881,85,0.0009646240831295844
184,hg38,fantom,phyloP,phyloP17way,promoters,256,True,0.00016019062684594667,99881,16,0.0
185,hg38,fantom,phyloP,phyloP17way,promoters,256,False,0.0006307505932059151,99881,16,0.00047063535773293947
186,hg38,fantom,phyloP,phyloP20way,promoters,256,True,0.00016019062684594667,99881,16,0.0
187,hg38,fantom,phyloP,phyloP20way,promoters,256,False,0.00037603341726654717,99881,16,0.00021587737195213539
188,hg38,fantom,phyloP,phyloP30way,promoters,256,True,0.00014016679849020335,99881,14,0.0
189,hg38,fantom,phyloP,phyloP30way,promoters,256,False,0.00045135742783912854,99881,14,0.00031123425405789703
190,hg38,fantom,phyloP,phyloP100way,promoters,256,True,0.00026030976862466334,99881,26,0.0
191,hg38,fantom,phyloP,phyloP100way,promoters,256,False,0.000393476048998308,99881,26,0.00013320095388313054
192,hg38,fantom,phastCons,phastCons4way,promoters,512,True,0.016449574994243148,99881,1643,0.0
193,hg38,fantom,phastCons,phastCons4way,promoters,512,False,0.06676495811265405,99881,1643,0.051156892254015755
194,hg38,fantom,phastCons,phastCons7way,promoters,512,True,0.0007408816491625034,99881,74,0.0
195,hg38,fantom,phastCons,phastCons7way,promoters,512,False,0.0023333430845205796,99881,74,0.0015936421355716532
196,hg38,fantom,phastCons,phastCons17way,promoters,512,True,0.00012014297013446,99881,12,0.0
197,hg38,fantom,phastCons,phastCons17way,promoters,512,False,0.0007145417108859543,99881,12,0.0005944701621624328
198,hg38,fantom,phastCons,phastCons20way,promoters,512,True,0.00012014297013446,99881,12,0.0
199,hg38,fantom,phastCons,phastCons20way,promoters,512,False,0.00047054041184008973,99881,12,0.0003504395445533649
200,hg38,fantom,phastCons,phastCons30way,promoters,512,True,7.008339924510167e-05,99881,7,0.0
201,hg38,fantom,phastCons,phastCons30way,promoters,512,False,0.0004575562106406624,99881,7,0.0003874999687105753
